B,dk_wall_us,sf_wall_us,dk_per_sample_us,sf_per_sample_us,sf_over_dk,notes
1,364.7780977189541,846.595112234354,364.7780977189541,846.595112234354,2.320849627563493,
2,324.7367078438401,860.5816913768649,162.36835392192006,430.29084568843246,2.6500905828937045,
4,331.52302261441946,885.5289686471224,82.88075565360487,221.3822421617806,2.6710934331611838,
8,392.4091998487711,903.6377537995577,49.05114998109639,112.95471922494471,2.302794516917052,
16,417.0407820492983,918.6851279810071,26.065048878081143,57.417820498812944,2.2028664042559023,
32,426.29139963537455,1704.066190868616,13.321606238605455,53.25206846464425,3.9974209949489423,
64,741.5726315230131,3250.1581590622663,11.58707236754708,50.78372123534791,4.382791409638753,
