sparsity_target,sparsity_actual,dk_wall_us,sf_wall_us,sf_over_dk,notes
0.0,0.0,290.45701026916504,833.7594894692302,2.8705090942600746,
0.25,0.250396728515625,291.6049677878618,830.5224403738976,2.848107995807842,
0.5,0.49878692626953125,290.21965339779854,830.5515814572573,2.861803367667992,
0.75,0.750640869140625,289.3876703456044,830.286811105907,2.869116054994077,
0.85,0.8489913940429688,290.65513983368874,829.4718759134412,2.853800818344587,
0.9,0.9011688232421875,291.7009824886918,829.6459587290883,2.844165801742717,
0.95,0.9498977661132812,288.3461909368634,829.5157039538026,2.876804792387336,
0.98,0.9798965454101562,290.06004333496094,829.2126981541514,2.8587622363297305,
1.0,1.0,233.44540037214756,236.531849950552,1.0132212910320106,all-zero: SF takes StaticZero short-circuit
